station,year,annual_seasonal
afognak,2010,12.012284148709657
afognak,2011,12.022899799247286
afognak,2012,11.63351441139784
afognak,2013,13.209433607499232
afognak,2014,14.48062397251345
afognak,2015,14.714178526082
afognak,2016,14.7903154788172
afognak,2017,12.516309050967747
buskin,2010,8.59622418753361
buskin,2011,6.105273105342739
buskin,2012,8.523326887010754
buskin,2013,9.43195474550538
buskin,2014,11.53370384391396
buskin,2015,11.455321581032262
buskin,2016,12.243426010307221
buskin,2017,9.839588985483882
klag,2010,14.686763128279601
klag,2011,15.25665493198925
klag,2012,13.530173731505393
klag,2013,15.57349030731182
klag,2014,15.38707553666666
klag,2015,15.18273327258064
klag,2016,15.920411478233481
klag,2017,14.40574910061095
neva,2010,14.24629978860214
neva,2011,13.5414794
neva,2012,12.714703197693044
neva,2013,15.075284739462358
neva,2014,14.24406214548388
neva,2015,15.27970061774194
neva,2016,15.510096219569899
neva,2017,13.80769663225808
