"Year","Month","mean_length"
"2010","06",786
"2010","07",777.98833819242
"2010","08",758.611859838275
"2011","06",773.484848484848
"2011","07",755.85635359116
"2011","08",745.978494623656
"2011","09",715.238095238095
"2012","06",785
"2012","07",729.459459459459
"2012","08",692.254901960784
"2013","06",785
"2013","07",665.5
"2013","08",723.896551724138
"2014","06",855
"2014","07",706.913580246914
"2014","08",710.800711743772
"2015","08",718.954635108481
"2016","08",709.407008086253
"2017","08",679.555555555556
