year,month,seasonal_mean
2009,5,7.1869228795698925
2009,6,11.668802072727273
2009,7,15.34631270967742
2009,8,14.511796602150538
2009,9,11.38168985111111
2010,5,9.549919171774194
2010,6,12.58268317264151
2010,7,14.524704311827957
2010,8,14.985188786324786
2010,9,12.643090275
2011,5,7.590828848387097
2011,6,11.917023358024691
2011,7,15.89543011827957
2011,8,15.148714172043011
2011,9,11.783069422222223
2012,5,7.371945574193548
2012,6,11.5470740975
2012,7,13.339092794354839
2012,8,14.090158012096774
2012,9,11.37836033069307
2013,5,8.677715659649122
2013,6,13.648243051666666
2013,7,16.64962382038835
2013,8,16.004247318548387
2013,9,12.616034735
2014,5,12.271498023469388
2014,6,13.235788185
2014,7,15.913296383064516
2014,8,15.371629752212389
2014,9,12.712300922222223
2015,5,11.487690704301075
2015,6,14.995335892857144
2015,7,16.106589387096776
2015,8,15.93351139516129
2015,9,11.459055251666667
2016,5,11.584561403508772
2016,6,14.632951395833333
2016,7,16.90385420967742
2016,8,16.33286960887097
2016,9,13.287418350515464
2017,5,8.223774322580645
2017,6,11.628593754464285
2017,7,14.730961004032258
2017,8,15.134383739837398
2017,9,11.991821779166667
